City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
86,Hithadhoo,MV,81.77,overcast clouds,-0.6,73.0833,Scoop Guest House
89,Karratha,AU,78.39,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
90,Hermanus,ZA,71.01,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
92,Basco,PH,73.8,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
94,Cabo San Lucas,MX,77.0,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
95,Bambous Virieux,MU,80.01,few clouds,-20.3428,57.7575,Casa Tia Villa
97,Hambantota,LK,77.74,overcast clouds,6.1241,81.1185,Bungalow 63
102,Bosaso,SO,74.46,clear sky,11.2842,49.1816,Red Sea Hotel
103,Faanui,PF,81.45,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
104,San Isidro,PE,78.01,clear sky,-12.1167,-77.05,Radisson Hotel Decapolis Miraflores
109,Namibe,AO,72.81,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
111,Arlit,NE,73.54,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
120,San Pedro,PH,77.0,few clouds,14.35,121.0167,OYO 412 Viewfort Venue
121,Sao Filipe,CV,71.2,few clouds,14.8961,-24.4956,Tortuga B&B
129,Japura,ID,74.05,broken clouds,-0.3167,102.35,Rumah mbah Jamah
130,Mitsamiouli,KM,82.8,light rain,-11.3847,43.2844,Foyer ADM
132,Kismayo,SO,77.07,few clouds,-0.3582,42.5454,Agan-Hotel
133,Atar,MR,72.68,scattered clouds,20.5169,-13.0499,Oumou Elghoura
134,Santa Maria Da Vitoria,BR,84.47,overcast clouds,-13.3947,-44.1886,Pousada Rio Current
138,Pisco,PE,75.99,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
145,Avarua,CK,78.8,few clouds,-21.2078,-159.775,Paradise Inn
147,Poum,NC,79.83,few clouds,-20.2333,164.0167,Gîte kajeon
150,Boyolangu,ID,75.25,overcast clouds,-8.1181,111.8935,Yos ega cv
152,Bengkulu,ID,76.55,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
167,Cape Town,ZA,75.0,scattered clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
169,Beira,MZ,84.2,moderate rain,-19.8436,34.8389,Beira Terrace Hotel
171,Lima,PE,78.01,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
175,Saldanha,ZA,73.4,few clouds,-33.0117,17.9442,Blue Bay Lodge
178,Kiunga,PG,74.37,light rain,-6.1219,141.2906,Airport Lodge Kiunga
181,Isangel,VU,77.49,clear sky,-19.55,169.2667,Volcano Sea View Tree House
193,Talara,PE,87.8,few clouds,-4.5772,-81.2719,Hostal Oro Negro
194,Kudahuvadhoo,MV,81.52,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
195,Port-Gentil,GA,84.2,light rain,-0.7193,8.7815,Fengshui Residence
196,Porto Velho,BR,82.4,light rain,-8.7619,-63.9039,Hotel Vila Rica Porto Velho
197,Sungairaya,ID,76.93,overcast clouds,0.7,108.9,Mess P.Milu
207,Mandera,KE,83.95,scattered clouds,3.9366,41.867,Kornesh Hotel and Lodging
210,Ancud,CL,77.0,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
211,Saint-Joseph,RE,80.6,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
217,Caravelas,BR,83.12,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
